Fecha y hora;Fecha;Hora;Hora Entera;Departamento;Localidad;Jurisdiccion ;Tipo de Siniestro;Vehiculo;Rol;Edad;Sexo;Fallecido a los Dias;Otro vehiculo;Lugar del Siniestro;X;Y
27/02/2013 9:40;27/02/2013;9:40:00;9:00;RIO NEGRO;N/C;NACIONAL;CA÷DA;MOTO;PASAJERO;64;M;5;N/C;RUTA 3 km. 322;438587,29;6383797,7
27/02/2013 17:20;27/02/2013;17:20:00;17:00;ARTIGAS;ARTIGAS;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;89;M;4;MOTO;DIEGO LAMAS esq. 25 DE AGOSTO;550639,14;6636234,14
01/03/2013 11:58;01/03/2013;11:58:00;11:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEAT‡N;PEAT‡N;PEAT‡N;48;M;0;OMNIBUS;AVENIDA ITALIA esq. GENERAL NARI•O;586608,44;6140210,04
01/03/2013 19:20;01/03/2013;19:20:00;19:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;25;M;1;CAMION;CORU•A esq. AGACES;577762,68;6141091,33
01/03/2013 21:00;01/03/2013;21:00:00;21:00;COLONIA;N/C;NACIONAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;74;M;0;AUTO;RUTA 21 km. 202;418959,47;6210987,35
02/03/2013 18:20;02/03/2013;18:20:00;18:00;FLORES;TRINIDAD;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;26;M;3;MOTO;INES DURAN esq. SARANDI;509143,7;6291804,96
02/03/2013 23:10;02/03/2013;23:10:00;23:00;CANELONES;N/C;NACIONAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;55;M;0;N/C;RUTA 81 esq. CAMINO AL RINCON DE VIDAL;558479,07;6187335,31
03/03/2013 10:00;03/03/2013;10:00:00;10:00;SALTO;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;40;M;0;N/C;RUTA 3 km. 507;421795,47;6536588,26
03/03/2013 19:48;03/03/2013;19:48:00;19:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISI‡N ENTRE VEH÷CULOS;MOTO;CONDUCTOR;24;M;1;AUTO;AVELLANEDA esq. VEINTIUNO DE ABRIL;578822,95;6141335,24
04/03/2013 10:15;04/03/2013;10:15:00;10:00;TACUAREMBO;TACUAREMBO;DEPARTAMENTAL;COLISI‡N CON OBSTµCULO EN CALZADA;MOTO;CONDUCTOR;65;M;0;AUTO;AV. OLIVER esq. HERREIRA Y REISSIG;594921,83;6491407,69
